[DEBUG] 2020-12-04 11:14:19.395 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@277cb7b4
[DEBUG] 2020-12-04 11:14:19.396 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@277cb7b4
[DEBUG] 2020-12-04 11:14:19.421 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@44a904cd
[DEBUG] 2020-12-04 11:14:19.428 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@2ba11f41
[DEBUG] 2020-12-04 11:14:19.428 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@2ba11f41
[DEBUG] 2020-12-04 11:14:19.429 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@2ba11f41
[DEBUG] 2020-12-04 11:14:19.448 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@af3216d
[DEBUG] 2020-12-04 11:14:19.460 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@5a9c5b32
[DEBUG] 2020-12-04 11:14:19.486 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@5a9c5b32
[DEBUG] 2020-12-04 11:14:19.536 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@2e7e86a5
[DEBUG] 2020-12-04 11:14:19.551 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@2e7e86a5
[DEBUG] 2020-12-04 11:14:19.588 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@69cfb912
[DEBUG] 2020-12-04 11:14:19.605 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@69cfb912
[DEBUG] 2020-12-04 11:14:19.641 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@46f170cb
[DEBUG] 2020-12-04 11:14:19.664 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@46f170cb
[DEBUG] 2020-12-04 11:14:19.697 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@bd85346
[DEBUG] 2020-12-04 11:14:19.698 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@bd85346
[DEBUG] 2020-12-04 11:14:19.748 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@55ea6cfa
[DEBUG] 2020-12-04 11:14:19.794 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@3106f369
[DEBUG] 2020-12-04 11:14:19.800 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@3106f369
[DEBUG] 2020-12-04 11:14:19.800 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@3106f369
[DEBUG] 2020-12-04 11:14:19.823 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@d60fdab
[DEBUG] 2020-12-04 11:14:19.823 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@d60fdab
[DEBUG] 2020-12-04 11:14:19.830 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@d60fdab
[DEBUG] 2020-12-04 11:14:19.855 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@12399a78
[DEBUG] 2020-12-04 11:14:19.861 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@6fcaf74d
[DEBUG] 2020-12-04 11:14:19.895 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@5004e991
[DEBUG] 2020-12-04 11:14:19.896 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@5004e991
[DEBUG] 2020-12-04 11:14:19.905 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@5004e991
[DEBUG] 2020-12-04 11:14:19.931 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@5dbe181f
[DEBUG] 2020-12-04 11:14:19.933 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@5dbe181f
[DEBUG] 2020-12-04 11:14:19.933 [http-nio-8080-exec-3] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@5dbe181f
